locus	vendored_reading	american_edition_reading
Jos.7.1	But the children of Israel transgressed the commandment, and took to their own use of that which was accursed. For Achan, the son of Charmi, the son of Zabdi, the son of Zare, of the tribe of Juda, took something of the anathema: and the Lord was angry against the children of Israel.	But the children of Israel transgressed the commandment, and took to their own use of the anathema. For Achan the son of Charmi, the son of Zabdi, the son of Zare of the tribe of Juda, took something of the anathema: and the Lord was angry against the children of Israel.
Jos.7.11	Israel hath sinned, and transgressed my covenant: and they have taken of the anathema, and have stolen and lied, and have hid it among their goods.	Israel hath sinned, and transgressed my covenant: and they have taken of the anathema, and have stolen and lied, and have hidden it among their goods.
Jos.7.13	Arise, sanctify the people, and say to them: Be ye sanctified against tomorrow: for thus saith the Lord God of Israel: The curse is in the midst of thee, O Israel: thou canst not stand before thy enemies, till he be destroyed out of thee, that is defiled with this wickedness.	Arise, sanctify the people, and say to them: Be ye sanctified against tomorrow: for thus saith the Lord God of Israel: The anathema is in the midst of thee, O Israel: thou canst not stand before thy enemies, till he be destroyed out of thee that is defiled with this wickedness.
Jos.7.17	Which being brought by in families, it was found to be the family of Zare. Bringing that also by the houses, he found it to be Zabdi:	Which being brought by its families, it was found to be the family of Zare. Bringing that also by the houses, he found it to be Zabdi.
Jos.7.22	Josue therefore sent ministers: who running to his tent, found all hid in the same place, together with the silver.	Josue therefore sent ministers: who running to his tent, found all hidden in the same place, together with the silver.
Jos.7.24	Then Josue, and all Israel with him, took Achan, the son of Zare, and the silver, and the garment, and the golden rule, his sons also, and his daughters, his oxen, and asses, and sheep, the tent also, and all the goods: and brought them to the valley of Achor:	Then Josue and all Israel with him took Achan the son of Zare, and the silver and the garments, and the golden rule, his sons also and his daughters, his oxen and asses and sheep, the tent also, and all the goods: and brought them to the valley of Achor:
Jos.8.7	And whilst we are fleeing, and they pursuing, you shall rise out of the ambush, and shall destroy the city: and the Lord your God will deliver it into your hands.	And whilst we are fleeing, and they pursuing, you shall arise out of the ambush, and shall destroy the city: and the Lord your God will deliver it into our hands.
Jos.8.9	And he sent them away, and they went on to the place of the ambush, and abode between Bethel and Hai, on the west side of the city of Hai. But Josue staid that night in the midst of the people,	And he sent them away, and they went on to the place of the ambush, and abode between Bethel and Hai, on the west side of the city of Hai. But Josue stayed that night in the midst of the people,
Jos.8.24	So all being slain that had pursued after Israel, in his flight to the wilderness, and falling by the sword in the same place, the children of Israel returned and laid waste the city.	So all being slain that had pursued after Israel in his flight to the wilderness, and tailing by the sword in the same place, the children of Israel returned and laid waste the city.
Jos.8.28	And he burnt the city, and made it a heap forever:	And he burned the city, and made it a heap for ever:
Jos.9.22	Josue called the Gabaonites, and said to them: Why would you impose upon us, saying: We dwell very far off from you, whereas you are in the midst of us?	Josue called the Gabaonites and said to them: Why would you impose upon us, saying: We dwell far off from you, whereas you are in the midst of us?
Jos.9.23	Therefore you shall be under a curse, and your race shall always be hewers of wood, and carriers of water, into the house of my God.	Therefore you shall be under a curse, and your race shall always be hewers of wood, and carriers of water unto the house of my God.
Jos.10.8	But the Lord said to Josue: Fear them not: for I have delivered them into thy hands: none of them shall be able to stand against thee.	And the Lord said to Josue: Fear them not: for I have delivered them into thy hands: none of them shall be able to stand against thee.
Jos.10.10	And the Lord troubled them, at the sight of Israel: and he slew them with a great slaughter, in Gabaon, and pursued them by the way of the ascent to Bethoron, and cut them off all the way to Azeca and Maceda.	And the Lord troubled them at the sight of Israel: and he slew them with a great slaughter in Gabaon, and pursued them by the way of the ascent to Beth-horon, and cut them off all the way to Azeca and Maceda.
Jos.10.11	And when they were fleeing from the children of Israel, and were in the descent of Bethoron, the Lord cast down upon them great stones from heaven, as far as Azeca: and many more were killed with the hailstones, than were slain by the swords of the children of Israel,	And when they were fleeing from the children of Israel, and were in the descent of Beth-horon, the Lord cast down upon them great stones from heaven as far as Azeca: and many more were killed with the hailstones than were slain by the swords of the children of Israel.
